DATE,Gas Price,Commercial Electricity Price,Industrial Electricity Price,Transportation Electricity Price
2005-01-01,1.875,7.99,5.23,7.91
2005-02-01,1.953,8.19,5.26,8.14
2005-03-01,2.12,8.15,5.3,8.01
2005-04-01,2.285,8.25,5.31,8.3
2005-05-01,2.205,8.41,5.42,8.23
2005-06-01,2.198,8.89,5.86,8.5
2005-07-01,2.333,9,6.14,9.44
2005-08-01,2.529,9.1,6.2,9.11
2005-09-01,2.951,9.18,6.17,9.25
2005-10-01,2.765,8.91,6.03,9.57
2005-11-01,2.303,8.79,5.83,8.14
2005-12-01,2.229,8.79,5.94,8.23
2006-01-01,2.36,8.87,5.78,8.75
2006-02-01,2.326,9.14,5.98,9.18
2006-03-01,2.468,9.06,5.88,9.06
2006-04-01,2.787,9.17,5.93,8.97
2006-05-01,2.953,9.22,6,9.12
2006-06-01,2.93,9.88,6.41,9.82
2006-07-01,3.025,9.97,6.61,10.3
2006-08-01,2.999,10.04,6.65,10.2
2006-09-01,2.606,9.89,6.37,10.11
2006-10-01,2.293,9.51,6.16,10.02
2006-11-01,2.275,9.24,6.04,9.4
2006-12-01,2.359,9.08,6,9.56
2007-01-01,2.289,9.12,6.13,8.92
2007-02-01,2.323,9.34,6.16,9.38
2007-03-01,2.609,9.35,6.22,11.04
2007-04-01,2.891,9.38,6.19,9.42
2007-05-01,3.187,9.51,6.27,9.84
2007-06-01,3.102,9.95,6.59,9.88
2007-07-01,3.011,10.14,6.71,10.57
2007-08-01,2.834,10.07,6.84,9.98
2007-09-01,2.849,9.9,6.52,9.76
2007-10-01,2.853,9.77,6.46,9.61
2007-11-01,3.128,9.5,6.28,8.76
2007-12-01,3.07,9.42,6.26,9.19
2008-01-01,3.095,9.39,6.33,9.52
2008-02-01,3.078,9.46,6.34,10.06
2008-03-01,3.293,9.62,6.46,10.14
2008-04-01,3.507,9.79,6.64,10.06
2008-05-01,3.815,10.05,6.75,10.45
2008-06-01,4.105,10.87,7.35,11.84
2008-07-01,4.114,11.1,7.72,11.8
2008-08-01,3.833,11.07,7.55,11.65
2008-09-01,3.756,10.77,7.31,11.83
2008-10-01,3.112,10.41,7.19,10.49
2008-11-01,2.208,10.16,6.93,10.2
2008-12-01,1.745,9.92,6.79,10.57
2009-01-01,1.84,9.96,6.92,10.37
2009-02-01,1.975,10.2,6.9,10.41
2009-03-01,2.011,9.96,6.81,10.98
2009-04-01,2.102,9.87,6.75,10.29
2009-05-01,2.316,10.11,6.77,11.11
2009-06-01,2.681,10.46,7.09,10.77
2009-07-01,2.582,10.56,7.1,11.01
2009-08-01,2.67,10.52,7.1,10.8
2009-09-01,2.609,10.45,6.89,10.73
2009-10-01,2.605,10.13,6.7,10.39
2009-11-01,2.706,9.78,6.4,10.61
2009-12-01,2.663,9.7,6.54,10.53
2010-01-01,2.769,9.55,6.5,10.19
2010-02-01,2.699,9.89,6.55,10.52
2010-03-01,2.824,9.95,6.53,10.3
2010-04-01,2.9,9.95,6.55,10.54
2010-05-01,2.89,10.15,6.64,10.55
2010-06-01,2.785,10.56,6.97,11.17
2010-07-01,2.782,10.72,7.23,10.97
2010-08-01,2.783,10.62,7.22,10.89
2010-09-01,2.757,10.52,7,10.54
2010-10-01,2.853,10.25,6.8,10.53
2010-11-01,2.913,9.99,6.56,10.47
2010-12-01,3.048,9.82,6.6,10.08
2011-01-01,3.148,9.78,6.53,10.29
2011-02-01,3.264,9.99,6.63,10.55
2011-03-01,3.615,9.93,6.53,10.24
2011-04-01,3.852,9.96,6.53,9.97
2011-05-01,3.96,10.19,6.68,10.7
2011-06-01,3.735,10.66,7.14,11.01
2011-07-01,3.705,10.67,7.32,11.21
2011-08-01,3.696,10.72,7.39,10.82
2011-09-01,3.667,10.59,7.15,10.8
2011-10-01,3.506,10.25,6.77,10.25
2011-11-01,3.443,9.98,6.53,9.93
2011-12-01,3.326,9.77,6.51,9.79
2012-01-01,3.44,9.84,6.44,9.78
2012-02-01,3.64,9.94,6.45,9.61
2012-03-01,3.907,9.84,6.46,9.95
2012-04-01,3.958,9.82,6.38,10.11
2012-05-01,3.791,9.96,6.53,9.97
2012-06-01,3.596,10.39,6.89,10.33
2012-07-01,3.498,10.39,7.13,10.7
2012-08-01,3.78,10.39,7.08,10.53
2012-09-01,3.91,10.5,6.97,10.74
2012-10-01,3.812,10.08,6.62,10.13
2012-11-01,3.521,9.89,6.5,10.41
2012-12-01,3.381,9.81,6.52,10.28
2013-01-01,3.391,9.77,6.5,10.53
2013-02-01,3.736,10.06,6.66,10.56
2013-03-01,3.779,10.02,6.64,10.25
